Category,Dataset,Spatial coverage,Temporal coverage,Type,Scale/Resolution,Folder,Name,Done,Source,Description
Ecosystems,Ecozones,Canada,2019,Vector,"1:1,000,000",canada.gdb,ecozones_2019,X,,
,Ecoregions,Canada,2019,Vector,"1:1,000,000",canada.gdb,ecoregions_2019,X,,
,World ecosystems,Global,,Raster,250-m,raster250,we.tif,X,,
,DHI 14 clusters,Global,,Raster,1-km2,raster1000,dhi_clusters14.tif,X,,
,DHI 40 clusters,,,Raster,,raster1000,dhi_clusters40.tif,X,,
Topography,Digital elevation model,Canada,,Raster,,,,,,
Land cover,Land cover 2010,Canada,,Raster,1-km2,raster1000,lcc.tif,X,,
,Land cover 2015,Canada,,Raster,30-m,raster30,,,,
,Canada land cover 1984-2019,Canada,,Raster,30-m,,,,,
Hydrology,Fundamental drainage areas,Canada,,Vector,"1:1,000,000",,,,,
,National hydrological network,Canada,,Vector,,,,,,
,Wetlands,Canada,,Raster,30-m,raster30,,,,
,Lake edge density,Canada,,Raster,1-km2,raster1000,led.tif,X,,
Productivity,GPP,Global,,Raster,1-km2,raster1000,gpp.tif,X,,
,NDVI,Global,,Raster,,,,,,
,"DHI (band 1, 2, 3)",Global,,Raster,1-km2,raster1000,dhi.tif,X,,
Climate,Climate moisture index,Canada,,Raster,,raster1000,cmi.tif,X,,
Biodiversity,Amphibian richness,Global,,Raster,1-km2,raster1000,richness_amphibians.tif,X,,
,Bird richness,Global,,Raster,1-km2,raster1000,richness_birds.tif,X,,
,Mammal richness,Global,,Raster,1-km2,raster1000,richness_mammals.tif,X,,
,Overall richness,Global,,Raster,1-km2,raster1000,richness_overall.tif,X,,
,Caribou RSF,Canada*,,Raster,1-km2,raster1000,caribou.tif,X,,Realized habitat
,Caribou ranges,Canada,,Vector,,,,,,
,Songbird density,Canada,,Raster,1-km2,raster1000,songbird.tif,,,
,Waterfowl density,Canada,,Raster,1-km2,raster1000,waterfowl.tif,,,
Integrity,Biotic integrity,Canada,,Vector,,,,,,HydroBasins level 12
,Intact forest landscape,Canada,2013,Vector,"1:1,000,000",,,,,
,Global intact forest landscape,Global,2016,Vector,,,,,,
,Forest landscape integrity index,Global,2019,Raster,300-m,raster300,flii.tif,X,,describes the degree of forest modification for the beginning of 2019
Disturbances,Human footprint,Canada,,Raster,300-m,raster300,hfp.tif,X,,
,National road network,Canada,,Vector,,,,,,
,Forest change,Canada,,Raster,30-m,raster30,,,,
,Fires,Canada,,Vector,,,,,https://cwfis.cfs.nrcan.gc.ca/datamart,
,BEAD,Canada*,2015,Vector,,,,,,
Conservation,CARTS,Canada,2020,Vector,,,,,,